# Step Filename index vel
  700 biased.lammpstrj 984 -1
  701 biased.lammpstrj 985 -1
  702 biased.lammpstrj 986 -1
  703 biased.lammpstrj 987 -1
  704 biased.lammpstrj 988 -1
  705 biased.lammpstrj 989 -1
  706 biased.lammpstrj 990 -1
  707 biased.lammpstrj 991 -1
  708 biased.lammpstrj 992 -1
  709 biased.lammpstrj 993 -1
  710 biased.lammpstrj 994 -1
  711 biased.lammpstrj 995 -1
  712 biased.lammpstrj 996 -1
  713 biased.lammpstrj 997 -1
  714 biased.lammpstrj 998 -1
  715 biased.lammpstrj 999 -1
  716 biased.lammpstrj 1000 -1
  717 biased.lammpstrj 1001 -1
  718 biased.lammpstrj 1002 -1
  719 biased.lammpstrj 1003 -1
  720 biased.lammpstrj 1004 -1
  721 biased.lammpstrj 1005 -1
  722 biased.lammpstrj 1006 -1
  723 biased.lammpstrj 1007 -1
